Company Name,Website,Industry,Sub-Industry,Primary Product / Service,Target Customer (ICP),Estimated Company Size,Recent News Summary,Key Offering Summary,Sales Angle 1,Sales Angle 2,Sales Angle 3,Risk Signal 1,Risk Signal 2,Risk Signal 3,Data Sources Used
Stripe,stripe.com,,,,,,,,,,,,,,
Notion,notion.so,,,,,,,,,,,,,,
Figma,figma.com,,,,,,,,,,,,,,
Datadog,datadoghq.com,,,,,,,,,,,,,,
Airtable,airtable.com,,,,,,,,,,,,,,
HubSpot,hubspot.com,,,,,,,,,,,,,,
Cloudflare,cloudflare.com,,,,,,,,,,,,,,
Twilio,twilio.com,,,,,,,,,,,,,,
MongoDB,mongodb.com,,,,,,,,,,,,,,
Canva,canva.com,,,,,,,,,,,,,,
